parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,TOPSIN_ET_lkg_CapPARCAP,c_residual_conditional_structure,2.1174,2.1076,0.466,0.1135,0.1232,0.0097,3/5,"MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=low, TOPSIN_ET_lkg_CapPARCAP=low","MEASURE_ET_Cap2pf=low, MEASURE_ET_DC_RF_Max_S11_Ph_L2180=high, TOPSIN_ET_lkg_CapPARCAP=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0097 -- inconsistent."
MEASURE_ET_CapPARCAP_0,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,c_residual_conditional_structure,2.0255,2.0208,0.23,0.1809,0.1832,0.0023,2/5,"MEASURE_ET_CapPARCAP_0=low, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_CapPARCAP_0=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0023 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1395,2.1354,0.189,0.1013,0.1034,0.0022,3/5,"MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_SMALL_Ids_m0p2=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_SMALL_Ids_m0p2=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0022 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_K_W,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0785,2.0705,0.384,0.1432,0.1508,0.0076,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_K_W=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_K_W=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0076 -- inconsistent."
MEASURE_ET_DC_RF_K_W,MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1169,2.1123,0.215,0.1154,0.1196,0.0043,3/5,"MEASURE_ET_DC_RF_K_W=high, MEASURE_ET_DC_SMALL_Ids_m0p2=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_RF_K_W=low, MEASURE_ET_DC_SMALL_Ids_m0p2=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0043 -- inconsistent."
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_Vt_gd,a_chaining_confirmed_pairs,2.2038,2.1953,0.387,0.0386,0.0462,0.0076,5/5,"MEASURE_ET_DC_RF_CF_S22_Ph_L1018=low, MEASURE_ET_DC_RF_Vbin_gs=high, MEASURE_ET_DC_RF_Vt_gd=low","MEASURE_ET_DC_RF_CF_S22_Ph_L1018=high, MEASURE_ET_DC_RF_Vbin_gs=low, MEASURE_ET_DC_RF_Vt_gd=low",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0076 -- inconsistent."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_lkg_5,TOPSIN_ET_lkg_CapPARCAP,a_chaining_confirmed_pairs,2.1791,2.1705,0.395,0.0602,0.0681,0.0079,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_CapPARCAP=low","MEASURE_ET_DC_SEC_Vp_1mA=low, THIN_ET_lkg_5=high, TOPSIN_ET_lkg_CapPARCAP=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0079 -- inconsistent."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,c_residual_conditional_structure,2.1185,2.1144,0.196,0.1118,0.115,0.0032,4/5,"MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=high, MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, THIN_ET_TF_AB_2=low","MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0032 -- inconsistent."
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.0498,2.0426,0.351,0.1635,0.1718,0.0083,3/5,"MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=high, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, TOPSIN_ET_C100CapUSV=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0083 -- inconsistent."
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,MEASURE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.0857,2.0839,0.088,0.1385,0.1405,0.0019,3/5,"MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg=high, MEASURE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg=low, MEASURE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0019 -- inconsistent."
MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1044,2.1049,-0.023,0.1268,0.1262,-0.0006,4/5,"MEASURE_ET_DC_SMALL_Ids_m0p2=high, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_SMALL_Ids_m0p2=high, MEASURE_ET_DC_Stress_Id_stress_before=low, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=-0.0006 -- inconsistent."
MEASURE_ET_C300pf,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_lkg_CapFICM1,c_residual_conditional_structure,2.0196,2.017,0.13,0.1929,0.1951,0.0022,4/5,"MEASURE_ET_C300pf=low, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C300pf=low, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0022 -- inconsistent."
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1535,2.1511,0.114,0.087,0.0891,0.0021,4/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_RF2_S22dB_26GHz=high, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0021 -- inconsistent."
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1785,2.1741,0.198,0.0655,0.0697,0.0042,4/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_DC_RF2_S22dB_26GHz=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0042 -- inconsistent."
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,c_residual_conditional_structure,2.0846,2.0801,0.213,0.1374,0.1406,0.0032,3/5,"MEASURE_ET_DC_RF_Vg_max_Vd_0p1=high, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_DC_RF_Vg_max_Vd_0p1=low, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0032 -- inconsistent."
MEASURE_ET_DC_SEC_Vgs_0p5V,MEASURE_ET_DC_SMALL_Vg_gm_max,THIN_ET_DC_RF_Vp_1,b_tree_path_cooccurrence,2.2101,2.215,-0.221,0.0412,0.0363,-0.0048,2/5,"MEASURE_ET_DC_SEC_Vgs_0p5V=high, MEASURE_ET_DC_SMALL_Vg_gm_max=low, THIN_ET_DC_RF_Vp_1=high","MEASURE_ET_DC_SEC_Vgs_0p5V=low, MEASURE_ET_DC_SMALL_Vg_gm_max=high, THIN_ET_DC_RF_Vp_1=low",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0048 -- inconsistent."
MEASURE_ET_DC_RF_K_W,SIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1649,2.1628,0.098,0.0752,0.076,0.0008,3/5,"MEASURE_ET_DC_RF_K_W=high, SIN_ET_DC_RF_Vbin_gs=high, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_DC_RF_K_W=low, SIN_ET_DC_RF_Vbin_gs=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0008 -- inconsistent."
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF_Vt_gd,MEASURE_ET_RF_Modeling_K,a_chaining_confirmed_pairs,2.211,2.2056,0.248,0.0337,0.0383,0.0045,4/5,"MEASURE_ET_DC_RF_Vbin_gs=high, MEASURE_ET_DC_RF_Vt_gd=low, MEASURE_ET_RF_Modeling_K=low","MEASURE_ET_DC_RF_Vbin_gs=low, MEASURE_ET_DC_RF_Vt_gd=low, MEASURE_ET_RF_Modeling_K=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0045 -- inconsistent."
MEASURE_ET_DC_RF_K_W,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1195,2.1092,0.488,0.1153,0.1228,0.0075,4/5,"MEASURE_ET_DC_RF_K_W=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_DC_RF_K_W=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0075 -- inconsistent."
MEASURE_ET_DC_RF_K_W,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1148,2.1145,0.013,0.1211,0.1218,0.0007,4/5,"MEASURE_ET_DC_RF_K_W=high, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_RF_K_W=low, MEASURE_ET_DC_Stress_Id_stress_before=low, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0007 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_lkg_50_at20V,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.1643,2.1581,0.288,0.0792,0.0839,0.0047,3/5,"MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_lkg_50_at20V=low, SIN_ET_DC_RF_Vbin_gs=high","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_lkg_50_at20V=high, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0047 -- inconsistent."
MEASURE_ET_DC_RF2_S22dB_26GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.168,2.1686,-0.027,0.0712,0.0702,-0.001,2/5,"MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_DC_SMALL_Ids_m0p2=low, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_RF2_S22dB_26GHz=low, MEASURE_ET_DC_SMALL_Ids_m0p2=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0010 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_SMALL_Ids_m0p2,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.1542,2.15,0.195,0.0832,0.0869,0.0037,3/5,"MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_SMALL_Ids_m0p2=low, SIN_ET_DC_RF_Vbin_gs=high","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_SMALL_Ids_m0p2=high, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0037 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.0946,2.0872,0.353,0.1401,0.1457,0.0056,4/5,"MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0056 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_Stress_Id_stress_before,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.152,2.1492,0.128,0.0849,0.0864,0.0015,3/5,"MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_Stress_Id_stress_before=high, SIN_ET_DC_RF_Vbin_gs=high","MEASURE_ET_DC_Big_S12dB_10GHz=low, MEASURE_ET_DC_Stress_Id_stress_before=low, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0015 -- inconsistent."
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_VIA_KLV,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.1437,2.1455,-0.083,0.0966,0.095,-0.0017,2/5,"MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_VIA_KLV=high, MEASURE_ET_lkg_50_at20V=low","MEASURE_ET_DC_Big_S12dB_10GHz=high, MEASURE_ET_VIA_KLV=low, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0017 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vg_Vbon_min,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1271,2.1296,-0.114,0.107,0.1038,-0.0032,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vg_Vbon_min=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vg_Vbon_min=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0032 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0891,2.0876,0.069,0.1394,0.1409,0.0014,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0014 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.079,2.0772,0.087,0.1435,0.1444,0.0009,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0009 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0662,2.0609,0.255,0.1557,0.1585,0.0029,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0029 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_X_Vg_at_I3_pos,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0533,2.0528,0.024,0.1717,0.172,0.0003,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_X_Vg_at_I3_pos=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_SEC_X_Vg_at_I3_pos=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0003 -- inconsistent."
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C300,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1369,2.128,0.418,0.1003,0.1087,0.0084,3/5,"TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C300=high, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_C300=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0084 -- inconsistent."
THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1219,2.119,0.136,0.1137,0.1163,0.0026,4/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_DC_SMALL_Vdg_max=high, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_DC_SMALL_Vdg_max=high, TOPSIN_ET_lkg_SY8_80=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0026 -- inconsistent."
TOPSIN_ET_C100CapFICM1,TOPSIN_ET_R514,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1371,2.1366,0.024,0.0981,0.0986,0.0005,2/5,"TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_R514=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C100CapFICM1=low, TOPSIN_ET_R514=high, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0005 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_Stress_Id_stress_before,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.1084,2.0992,0.434,0.1155,0.1218,0.0063,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_Stress_Id_stress_before=high, SIN_ET_DC_RF_Vbin_gs=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_Stress_Id_stress_before=low, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0063 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,b_tree_path_cooccurrence,2.119,2.1143,0.224,0.1124,0.1166,0.0042,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_Stress_Id_stress_before=low, MEASURE_ET_lkg_50_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0042 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0938,2.087,0.327,0.132,0.1383,0.0063,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SMALL_Ids_m0p2=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_SMALL_Ids_m0p2=high, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0063 -- inconsistent."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1333,2.1304,0.136,0.1028,0.1059,0.0031,3/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_SY8_80=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0031 -- inconsistent."
SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0883,2.0817,0.314,0.1446,0.1499,0.0054,3/5,"SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","SIN_GATE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0054 -- inconsistent."
MEASURE_ET_C100C300pf,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1348,2.1283,0.303,0.1015,0.1078,0.0063,3/5,"MEASURE_ET_C100C300pf=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=low","MEASURE_ET_C100C300pf=high, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0063 -- inconsistent."
MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0729,2.0641,0.423,0.1487,0.1568,0.0081,4/5,"MEASURE_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0081 -- inconsistent."
MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1061,2.102,0.196,0.1233,0.1275,0.0042,3/5,"MEASURE_ET_Rc_OG142_GN=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_Rc_OG142_GN=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0042 -- inconsistent."
MEASURE_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0899,2.0857,0.204,0.137,0.1413,0.0043,3/5,"MEASURE_ET_Rcat_cn_3=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0043 -- inconsistent."
MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1275,2.118,0.446,0.1082,0.1161,0.0079,5/5,"MEASURE_ET_Rcat_cn_2=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","MEASURE_ET_Rcat_cn_2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=low",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0079 -- inconsistent."
MEASURE_ET_lkg_10,SIN_GATE_ET_OHMC,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1141,2.1081,0.285,0.1192,0.1239,0.0047,4/5,"MEASURE_ET_lkg_10=low, SIN_GATE_ET_OHMC=high, THIN_ET_lkg_100_at20V=high","MEASURE_ET_lkg_10=high, SIN_GATE_ET_OHMC=low, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0047 -- inconsistent."
